"unit_id","channel","polarity","unit_index","is_residual","lower_uv","upper_uv"
"A-000-NEG-U01","A-000","NEG","1","false","-64.935","-31.005000000000003"
"A-000-NEG-U02","A-000","NEG","2","false","-200.07","-64.935"
"A-000-NEG-U03","A-000","NEG","3","false","-inf","-200.07"
"A-000-POS-U01","A-000","POS","1","false","31.005000000000003","inf"
"A-001-NEG-U01","A-001","NEG","1","false","-70.005","-31.005000000000003"
"A-001-NEG-U02","A-001","NEG","2","false","-inf","-70.005"
"A-001-POS-U01","A-001","POS","1","false","31.005000000000003","63.96"
"A-001-POS-U02","A-001","POS","2","false","63.96","100.035"
"A-001-POS-U03","A-001","POS","3","false","100.035","inf"
"A-002-NEG-U01","A-002","NEG","1","false","-71.955","-32.955"
"A-002-NEG-U02","A-002","NEG","2","false","-195.0","-71.955"
"A-002-NEG-U03","A-002","NEG","3","false","-inf","-195.0"
"A-002-POS-U01","A-002","POS","1","false","32.955","70.005"
"A-002-POS-U02","A-002","POS","2","false","70.005","inf"
"A-003-NEG-U01","A-003","NEG","1","false","-94.965","-31.98"
"A-003-NEG-U02","A-003","NEG","2","false","-inf","-94.965"
"A-003-POS-U01","A-003","POS","1","false","31.98","inf"
"A-004-NEG-U01","A-004","NEG","1","false","-inf","-31.005000000000003"
"A-004-POS-U01","A-004","POS","1","false","31.005000000000003","inf"
"A-005-NEG-U01","A-005","NEG","1","false","-79.95","-31.005000000000003"
"A-005-NEG-U02","A-005","NEG","2","false","-inf","-79.95"
"A-005-POS-U01","A-005","POS","1","false","31.005000000000003","62.010000000000005"
"A-005-POS-U02","A-005","POS","2","false","62.010000000000005","inf"
"A-006-NEG-U01","A-006","NEG","1","false","-63.96","-33.93"
"A-006-NEG-U02","A-006","NEG","2","false","-109.98","-63.96"
"A-006-NEG-U03","A-006","NEG","3","false","-inf","-109.98"
"A-006-POS-U01","A-006","POS","1","false","33.93","60.06"
"A-006-POS-U02","A-006","POS","2","false","60.06","140.01"
"A-006-POS-U03","A-006","POS","3","false","140.01","inf"
"A-007-NEG-U01","A-007","NEG","1","false","-82.095","-31.98"
"A-007-NEG-U02","A-007","NEG","2","false","-inf","-82.095"
"A-007-POS-U01","A-007","POS","1","false","31.98","46.995000000000005"
"A-007-POS-U02","A-007","POS","2","false","46.995000000000005","inf"
"A-008-NEG-U01","A-008","NEG","1","false","-79.95","-30.03"
"A-008-NEG-U02","A-008","NEG","2","false","-inf","-79.95"
"A-008-POS-U01","A-008","POS","1","false","30.03","52.065000000000005"
"A-008-POS-U02","A-008","POS","2","false","52.065000000000005","111.345"
"A-008-POS-U03","A-008","POS","3","false","111.345","inf"
"A-009-NEG-U01","A-009","NEG","1","false","-70.005","-32.955"
"A-009-NEG-U02","A-009","NEG","2","false","-155.025","-70.005"
"A-009-NEG-U03","A-009","NEG","3","false","-inf","-155.025"
"A-009-POS-U01","A-009","POS","1","false","32.955","inf"
"A-010-NEG-U01","A-010","NEG","1","false","-inf","-30.03"
"A-010-POS-U01","A-010","POS","1","false","30.03","60.06"
"A-010-POS-U02","A-010","POS","2","false","60.06","inf"
"A-011-NEG-U01","A-011","NEG","1","false","-82.095","-33.93"
"A-011-NEG-U02","A-011","NEG","2","false","-249.99","-82.095"
"A-011-NEG-U03","A-011","NEG","3","false","-inf","-249.99"
"A-011-POS-U01","A-011","POS","1","false","33.93","79.95"
"A-011-POS-U02","A-011","POS","2","false","79.95","149.955"
"A-011-POS-U03","A-011","POS","3","false","149.955","inf"
"A-012-NEG-U01","A-012","NEG","1","false","-75.075","-30.03"
"A-012-NEG-U02","A-012","NEG","2","false","-140.01","-75.075"
"A-012-NEG-U03","A-012","NEG","3","false","-inf","-140.01"
"A-012-POS-U01","A-012","POS","1","false","30.03","56.550000000000004"
"A-012-POS-U02","A-012","POS","2","false","56.550000000000004","179.79"
"A-012-POS-U03","A-012","POS","3","false","179.79","inf"
"A-013-NEG-U01","A-013","NEG","1","false","-70.005","-32.955"
"A-013-NEG-U02","A-013","NEG","2","false","-179.985","-70.005"
"A-013-NEG-U03","A-013","NEG","3","false","-inf","-179.985"
"A-013-POS-U01","A-013","POS","1","false","32.955","70.005"
"A-013-POS-U02","A-013","POS","2","false","70.005","289.96500000000003"
"A-013-POS-U03","A-013","POS","3","false","289.96500000000003","inf"
"A-014-NEG-U01","A-014","NEG","1","false","-inf","-28.080000000000002"
"A-014-POS-U01","A-014","POS","1","false","28.080000000000002","inf"
"A-015-NEG-U01","A-015","NEG","1","false","-64.935","-28.080000000000002"
"A-015-NEG-U02","A-015","NEG","2","false","-inf","-64.935"
"A-015-POS-U01","A-015","POS","1","false","28.080000000000002","49.92"
"A-015-POS-U02","A-015","POS","2","false","49.92","inf"
"A-016-NEG-U01","A-016","NEG","1","false","-90.09","-34.905"
"A-016-NEG-U02","A-016","NEG","2","false","-inf","-90.09"
"A-016-POS-U01","A-016","POS","1","false","34.905","105.3"
"A-016-POS-U02","A-016","POS","2","false","105.3","inf"
"A-017-NEG-U01","A-017","NEG","1","false","-70.005","-34.905"
"A-017-NEG-U02","A-017","NEG","2","false","-149.955","-70.005"
"A-017-NEG-U03","A-017","NEG","3","false","-inf","-149.955"
"A-017-POS-U01","A-017","POS","1","false","34.905","138.06"
"A-017-POS-U02","A-017","POS","2","false","138.06","inf"
"A-018-NEG-U01","A-018","NEG","1","false","-85.02","-31.005000000000003"
"A-018-NEG-U02","A-018","NEG","2","false","-inf","-85.02"
"A-018-POS-U01","A-018","POS","1","false","31.005000000000003","115.05"
"A-018-POS-U02","A-018","POS","2","false","115.05","inf"
"A-019-NEG-U01","A-019","NEG","1","false","-57.915","-36.075"
"A-019-NEG-U02","A-019","NEG","2","false","-inf","-57.915"
"A-019-POS-U01","A-019","POS","1","false","36.075","65.91"
"A-019-POS-U02","A-019","POS","2","false","65.91","inf"
"A-020-NEG-U01","A-020","NEG","1","false","-79.95","-36.075"
"A-020-NEG-U02","A-020","NEG","2","false","-inf","-79.95"
"A-020-POS-U01","A-020","POS","1","false","36.075","94.965"
"A-020-POS-U02","A-020","POS","2","false","94.965","359.97"
"A-020-POS-U03","A-020","POS","3","false","359.97","inf"
"A-021-NEG-U01","A-021","NEG","1","false","-85.02","-34.905"
"A-021-NEG-U02","A-021","NEG","2","false","-174.915","-85.02"
"A-021-NEG-U03","A-021","NEG","3","false","-inf","-174.915"
"A-021-POS-U01","A-021","POS","1","false","34.905","inf"
"A-022-NEG-U01","A-022","NEG","1","false","-109.98","-36.075"
"A-022-NEG-U02","A-022","NEG","2","false","-299.91","-109.98"
"A-022-NEG-U03","A-022","NEG","3","false","-inf","-299.91"
"A-022-POS-U01","A-022","POS","1","false","36.075","inf"
"A-023-NEG-U01","A-023","NEG","1","false","-87.94500000000001","-36.075"
"A-023-NEG-U02","A-023","NEG","2","false","-164.97","-87.94500000000001"
"A-023-NEG-U03","A-023","NEG","3","false","-inf","-164.97"
"A-023-POS-U01","A-023","POS","1","false","36.075","108.03"
"A-023-POS-U02","A-023","POS","2","false","108.03","289.96500000000003"
"A-023-POS-U03","A-023","POS","3","false","289.96500000000003","inf"
"A-024-NEG-U01","A-024","NEG","1","false","-inf","-28.080000000000002"
"A-024-POS-U01","A-024","POS","1","false","28.080000000000002","inf"
"A-025-NEG-U01","A-025","NEG","1","false","-64.935","-33.93"
"A-025-NEG-U02","A-025","NEG","2","false","-149.955","-64.935"
"A-025-NEG-U03","A-025","NEG","3","false","-inf","-149.955"
"A-025-POS-U01","A-025","POS","1","false","33.93","60.06"
"A-025-POS-U02","A-025","POS","2","false","60.06","inf"
"A-026-NEG-U01","A-026","NEG","1","false","-49.92","-32.955"
"A-026-NEG-U02","A-026","NEG","2","false","-119.925","-49.92"
"A-026-NEG-U03","A-026","NEG","3","false","-inf","-119.925"
"A-026-POS-U01","A-026","POS","1","false","32.955","64.935"
"A-026-POS-U02","A-026","POS","2","false","64.935","160.095"
"A-026-POS-U03","A-026","POS","3","false","160.095","inf"
"A-027-NEG-U01","A-027","NEG","1","false","-109.98","-36.075"
"A-027-NEG-U02","A-027","NEG","2","false","-inf","-109.98"
"A-027-POS-U01","A-027","POS","1","false","36.075","68.055"
"A-027-POS-U02","A-027","POS","2","false","68.055","119.925"
"A-027-POS-U03","A-027","POS","3","false","119.925","inf"
"A-028-NEG-U01","A-028","NEG","1","false","-60.06","-36.075"
"A-028-NEG-U02","A-028","NEG","2","false","-inf","-60.06"
"A-028-POS-U01","A-028","POS","1","false","36.075","inf"
"A-029-NEG-U01","A-029","NEG","1","false","-79.95","-31.98"
"A-029-NEG-U02","A-029","NEG","2","false","-inf","-79.95"
"A-029-POS-U01","A-029","POS","1","false","31.98","inf"
"A-030-NEG-U01","A-030","NEG","1","false","-49.92","-32.955"
"A-030-NEG-U02","A-030","NEG","2","false","-inf","-49.92"
"A-030-POS-U01","A-030","POS","1","false","32.955","49.92"
"A-030-POS-U02","A-030","POS","2","false","49.92","119.925"
"A-030-POS-U03","A-030","POS","3","false","119.925","inf"
"A-031-NEG-U01","A-031","NEG","1","false","-133.965","-31.98"
"A-031-NEG-U02","A-031","NEG","2","false","-inf","-133.965"
"A-031-POS-U01","A-031","POS","1","false","31.98","70.005"
"A-031-POS-U02","A-031","POS","2","false","70.005","inf"
"A-032-NEG-U01","A-032","NEG","1","false","-62.010000000000005","-33.93"
"A-032-NEG-U02","A-032","NEG","2","false","-104.91","-62.010000000000005"
"A-032-NEG-U03","A-032","NEG","3","false","-inf","-104.91"
"A-032-POS-U01","A-032","POS","1","false","33.93","116.025"
"A-032-POS-U02","A-032","POS","2","false","116.025","inf"
"A-033-NEG-U01","A-033","NEG","1","false","-85.02","-32.955"
"A-033-NEG-U02","A-033","NEG","2","false","-inf","-85.02"
"A-033-POS-U01","A-033","POS","1","false","32.955","61.035000000000004"
"A-033-POS-U02","A-033","POS","2","false","61.035000000000004","117.97500000000001"
"A-033-POS-U03","A-033","POS","3","false","117.97500000000001","inf"
"A-034-NEG-U01","A-034","NEG","1","false","-100.035","-33.93"
"A-034-NEG-U02","A-034","NEG","2","false","-inf","-100.035"
"A-034-POS-U01","A-034","POS","1","false","33.93","64.935"
"A-034-POS-U02","A-034","POS","2","false","64.935","inf"
"A-035-NEG-U01","A-035","NEG","1","false","-78.0","-33.93"
"A-035-NEG-U02","A-035","NEG","2","false","-inf","-78.0"
"A-035-POS-U01","A-035","POS","1","false","33.93","63.96"
"A-035-POS-U02","A-035","POS","2","false","63.96","inf"
"A-036-NEG-U01","A-036","NEG","1","false","-78.0","-33.93"
"A-036-NEG-U02","A-036","NEG","2","false","-inf","-78.0"
"A-036-POS-U01","A-036","POS","1","false","33.93","45.045"
"A-036-POS-U02","A-036","POS","2","false","45.045","inf"
"A-037-NEG-U01","A-037","NEG","1","false","-90.09","-34.905"
"A-037-NEG-U02","A-037","NEG","2","false","-inf","-90.09"
"A-037-POS-U01","A-037","POS","1","false","34.905","145.08"
"A-037-POS-U02","A-037","POS","2","false","145.08","inf"
"A-038-NEG-U01","A-038","NEG","1","false","-119.925","-31.005000000000003"
"A-038-NEG-U02","A-038","NEG","2","false","-inf","-119.925"
"A-038-POS-U01","A-038","POS","1","false","31.005000000000003","inf"
"A-039-NEG-U01","A-039","NEG","1","false","-60.06","-32.955"
"A-039-NEG-U02","A-039","NEG","2","false","-inf","-60.06"
"A-039-POS-U01","A-039","POS","1","false","32.955","49.92"
"A-039-POS-U02","A-039","POS","2","false","49.92","inf"
"A-040-NEG-U01","A-040","NEG","1","false","-inf","-32.955"
"A-040-POS-U01","A-040","POS","1","false","32.955","49.92"
"A-040-POS-U02","A-040","POS","2","false","49.92","inf"
"A-042-NEG-U01","A-042","NEG","1","false","-96.915","-39.0"
"A-042-NEG-U02","A-042","NEG","2","false","-189.93","-96.915"
"A-042-NEG-U03","A-042","NEG","3","false","-inf","-189.93"
"A-042-POS-U01","A-042","POS","1","false","39.0","115.05"
"A-042-POS-U02","A-042","POS","2","false","115.05","234.975"
"A-042-POS-U03","A-042","POS","3","false","234.975","inf"
"A-043-NEG-U01","A-043","NEG","1","false","-160.095","-36.075"
"A-043-NEG-U02","A-043","NEG","2","false","-350.02500000000003","-160.095"
"A-043-NEG-U03","A-043","NEG","3","false","-inf","-350.02500000000003"
"A-043-POS-U01","A-043","POS","1","false","36.075","95.94"
"A-043-POS-U02","A-043","POS","2","false","95.94","inf"
"A-044-NEG-U01","A-044","NEG","1","false","-45.045","-31.005000000000003"
"A-044-NEG-U02","A-044","NEG","2","false","-149.955","-45.045"
"A-044-NEG-U03","A-044","NEG","3","false","-inf","-149.955"
"A-044-POS-U01","A-044","POS","1","false","31.005000000000003","45.045"
"A-044-POS-U02","A-044","POS","2","false","45.045","inf"
"A-045-NEG-U01","A-045","NEG","1","false","-85.02","-31.98"
"A-045-NEG-U02","A-045","NEG","2","false","-inf","-85.02"
"A-045-POS-U01","A-045","POS","1","false","31.98","49.92"
"A-045-POS-U02","A-045","POS","2","false","49.92","inf"
"A-046-NEG-U01","A-046","NEG","1","false","-95.94","-37.050000000000004"
"A-046-NEG-U02","A-046","NEG","2","false","-inf","-95.94"
"A-046-POS-U01","A-046","POS","1","false","37.050000000000004","70.005"
"A-046-POS-U02","A-046","POS","2","false","70.005","200.07"
"A-046-POS-U03","A-046","POS","3","false","200.07","inf"
"A-047-NEG-U01","A-047","NEG","1","false","-174.915","-37.050000000000004"
"A-047-NEG-U02","A-047","NEG","2","false","-399.945","-174.915"
"A-047-NEG-U03","A-047","NEG","3","false","-inf","-399.945"
"A-047-POS-U01","A-047","POS","1","false","37.050000000000004","155.025"
"A-047-POS-U02","A-047","POS","2","false","155.025","inf"
"A-048-NEG-U01","A-048","NEG","1","false","-47.97","-31.98"
"A-048-NEG-U02","A-048","NEG","2","false","-149.955","-47.97"
"A-048-NEG-U03","A-048","NEG","3","false","-inf","-149.955"
"A-048-POS-U01","A-048","POS","1","false","31.98","inf"
"A-049-NEG-U01","A-049","NEG","1","false","-60.06","-34.905"
"A-049-NEG-U02","A-049","NEG","2","false","-inf","-60.06"
"A-049-POS-U01","A-049","POS","1","false","34.905","75.075"
"A-049-POS-U02","A-049","POS","2","false","75.075","155.025"
"A-049-POS-U03","A-049","POS","3","false","155.025","inf"
"A-050-NEG-U01","A-050","NEG","1","false","-70.005","-31.005000000000003"
"A-050-NEG-U02","A-050","NEG","2","false","-119.925","-70.005"
